Official Title,Posting Number,Department,Active Applications,Workflow State,Last Status Update,All Submitted Applications,Incomplete Applications,Close Date,Closing Date,FTE,Pay Rate
Curriculum Development Manager,0600041,Curriculum Development,0,Filled,"December 08, 2008 at 09:49 AM",34,0,Oct 15,15.10.2008,,"Pay scale begins at $50,500/yr"
Adjunct Faculty - Mechanical Engineering,,Academic Office,0,Filled,"May 04, 2009 at 04:51 PM",1,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Communication,,Academic Office,0,Filled,"May 04, 2009 at 04:45 PM",2,0,Open Until Filled,,,Dependent on Education and Experience
Activities Advisor,0600043,Student Activities,0,Filled,"November 13, 2008 at 02:27 PM",118,4,Oct 07,07.10.2008,1,"Pay scale begins at $45,000/yr minimum"
Lighting Designer/Programmer,0600044,A/V Production Services,0,Filled,"October 21, 2008 at 09:19 AM",6,0,Oct 08,08.10.2008,1,"Pay scale starts at $38,270/yr; experience will be considered in offer"
Temporary Faculty - Home & Family,0600045,Academic Office,1,Cancelled,"November 04, 2008 at 04:45 PM",10,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Computer Information Technology,,Academic Office,0,Cancelled,"May 04, 2009 at 04:59 PM",0,0,Open Until Filled,,,Dependent on Education and Experience
Office Assistant I,,Human Performance & Recreation,0,Filled,"October 14, 2008 at 03:51 PM",10,0,Sep 29,29.09.2008,.75,Payscale minimum starts at $12.44/hr; Employees should talk to Beth in Human Resources
Adjunct Faculty - Academic Learning,,Academic Office,0,Filled,"May 01, 2009 at 04:15 PM",3,0,Open Until Filled,,,Dependent on Education and Experience
Lab Assistant,0600047,Biology,0,Filled,"November 12, 2008 at 02:20 PM",4,0,Oct 22,22.10.2008,.60,$13.60/hour minimum
Full-time Faculty - Nursing,0600050,Academic Office,0,Filled,"May 21, 2009 at 02:57 PM",5,0,Jan 16,16.01.2009,,Dependent on education and experience.
"Resident Supervisor, Badger Creek",0600048,Continuing Education,0,Filled,"November 21, 2008 at 12:23 PM",31,0,Nov 03,03.11.2008,1,"Payscale begins at $44,000/yr"
Adjunct Faculty - Psychology,,Academic Office,0,Cancelled,"May 04, 2009 at 05:02 PM",0,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Foreign Languages & Literatures,,Academic Office,0,Filled,"May 04, 2009 at 04:48 PM",4,0,Open Until Filled,,,Dependent on Education and Experience
Full-time Faculty - Music (Voice),0600052,Academic Office,0,Filled,"May 21, 2009 at 03:00 PM",5,0,Jan 16,16.01.2009,,Dependent on education and experience.
Full-time Faculty - Music (Piano),0600053,Academic Office,0,Cancelled,"May 21, 2009 at 02:57 PM",7,1,Jan 16,16.01.2009,,Dependent on education and experience.
Office Assistant I,0600055,Dance,0,Filled,"December 08, 2008 at 09:47 AM",26,1,Nov 05,05.11.2008,.30,Pay scale begins at $12.44/hr
Adjunct Faculty - Religious Education,,Academic Office,0,Filled,"May 04, 2009 at 04:53 PM",1,0,Open Until Filled,,,Dependent on Education and Experience
Project Manager,0600015,Information Technology,0,Cancelled,"July 30, 2008 at 11:44 AM",15,0,Jul 11,11.07.2008,1,"$64,000/yr minimum"
Full-time Faculty - Academic Learning,0600058,Academic Office,0,Filled,"June 11, 2009 at 01:24 PM",39,1,Jan 16,16.01.2009,,Dependent on education and experience.
Full-time Faculty - Computer Science & Engineering,0600060,Academic Office,0,Filled,"September 22, 2009 at 02:36 PM",9,0,Jan 16,16.01.2009,,Dependent on Education and Experience
Full-time Faculty - Mathematics (Statistics),0600061,Academic Office,0,Cancelled,"May 21, 2009 at 03:07 PM",7,0,Jan 16,16.01.2009,,Dependent on Education and Experience
Technology Support Specialist,0600063,Information Technology,0,Cancelled,"November 12, 2008 at 02:21 PM",0,0,Nov 18,18.11.2008,1,"$38,270/yr minimum"
Full-time Faculty - Chemistry,0600065,Academic Office,0,Cancelled,"May 21, 2009 at 03:20 PM",0,0,Open Until Filled,16.01.2008,,Dependent on Education and Experience
Full-time Faculty - Chemistry,0600067,Academic Office,0,Filled,"May 21, 2009 at 03:09 PM",4,0,Jan 16,16.01.2009,,Dependent on Education and Experience
Full-time Faculty - Religious Education,0600066,Academic Office,0,Filled,"May 15, 2009 at 09:41 AM",63,0,Dec 15,15.12.2008,,Dependent on Education and Experience
Adjunct Faculty - Interior Design,,Academic Office,0,Filled,"May 04, 2009 at 04:51 PM",1,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Geology,,Academic Office,0,Filled,"May 04, 2009 at 04:49 PM",1,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Architecture & Construction,,Academic Office,0,Filled,"May 04, 2009 at 04:44 PM",1,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Sociology & Social Work,,Academic Office,0,Cancelled,"May 04, 2009 at 05:02 PM",0,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Music,,Academic Office,0,Filled,"May 04, 2009 at 04:51 PM",3,0,Open Until Filled,,,Dependent on Education and Experience
Sound Technician,0600026,Audio Visual Services,0,Filled,"September 02, 2008 at 02:43 PM",8,0,Jul 31,31.07.2008,1,"$38,000/yr minimum"
"Temporary Faculty - Physical Science (Chemistry, Geology, Physics)",0600073,Academic Office,1,Filled,"June 11, 2009 at 01:26 PM",19,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Computer Science & Engineering,,Academic Office,0,Filled,"May 04, 2009 at 04:46 PM",1,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Humanities & Philosophy,,Academic Office,0,Cancelled,"May 04, 2009 at 05:00 PM",0,0,Open Until Filled,,,Dependent on Education and Experience
Travel Services Coordinator,0600072,University Services,0,Cancelled,"April 20, 2009 at 10:09 AM",18,0,Dec 15,15.12.2008,1.0,Minimum salary $3302/month
Temporary Faculty - Health Science,0600074,Academic Office,0,Cancelled,"January 08, 2009 at 09:11 AM",1,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Chemistry,,Academic Office,0,Cancelled,"May 04, 2009 at 04:59 PM",0,0,Open Until Filled,,,Dependent on Education and Experience
Groundskeeper,0600016,Grounds,0,Filled,"August 15, 2008 at 09:30 AM",22,1,Jul 09,09.07.2008,1,"$28,350/yr minimum"
Office Assistant I,0600075,Counseling,0,Filled,"December 20, 2008 at 12:06 PM",58,0,Dec 09,09.12.2008,1.0,"Pay scale starts at $25,400/yr"
Adjunct Faculty - Physics,,Academic Office,0,Cancelled,"May 04, 2009 at 05:01 PM",0,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--Science,0600078,Continuing Education,0,Cancelled,"January 14, 2009 at 04:46 PM",0,0,Jan 22,22.01.2009,,Paid $750 per course credit hour
Facilities Service Center Representative,0600014,Facilities Management,0,Filled,"July 15, 2008 at 08:39 AM",44,0,Jun 23,23.06.2008,1,"$25,870/yr minimum"
Online Adjunct Faculty--English (2 openings),0600083,Continuing Education,0,Filled,"February 10, 2009 at 05:10 PM",15,1,Jan 22,22.01.2009,,Paid $750 per course credit hour
Adjunct Faculty - Mathematics,0600018,Academic Office,0,Filled,"May 21, 2009 at 02:50 PM",40,3,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--Pakistan,,Continuing Education,0,Cancelled,"February 03, 2009 at 04:50 PM",0,0,Jan 30,30.01.2009,,Paid $750 per course credit hour
Online Adjunct Faculty--Introduction to Business,0600088,Continuing Education,0,Filled,"April 20, 2009 at 10:04 AM",33,0,Mar 16,16.03.2009,,$750 per credit hour
Online Adjunct Faculty--Child Development,0600089,Continuing Education,0,Filled,"April 20, 2009 at 10:05 AM",17,1,Mar 16,16.03.2009,,$750 per credit hour
Custodian,0600039,Custodial Services,0,Filled,"September 26, 2008 at 08:35 AM",11,2,Aug 21,21.08.2008,1,Pay scale starts at $11.34/hr
Online Adjunct Faculty--Religion (2 openings),0600092,Continuing Education,0,Filled,"April 20, 2009 at 10:05 AM",34,0,Mar 16,16.03.2009,,$750 per credit hour
Online Adjunct Faculty--Essentials of Human Nutrition,0600091,Continuing Education,0,Filled,"April 20, 2009 at 10:05 AM",13,0,Mar 16,16.03.2009,,$750 per credit hour
Custodian,0600021,Custodial Services,0,Filled,"August 07, 2008 at 02:39 PM",8,0,Jul 14,14.07.2008,1,$11.34/hr minimum
Online Adjunct Faculty--Humanities Foundations: The Heroic Journey,0600100,Continuing Education,0,Filled,"April 20, 2009 at 10:06 AM",6,0,Mar 16,16.03.2009,,$750 per credit hour
Office Assistant I,0600030,Stores & Receiving,0,Filled,"August 22, 2008 at 09:12 AM",28,0,Aug 04,04.08.2008,1.0,"$25,870/yr minimum"
Temporary Faculty - Nursing,0600107,Academic Office,0,Cancelled,"June 26, 2009 at 01:02 PM",1,1,Open Until Filled,,,Dependent on Education and Experience
Temporary Faculty - English,0600017,Academic Office,0,Filled,"October 28, 2008 at 04:00 PM",12,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--English (2 openings),0600090,Continuing Education,0,Filled,"June 11, 2009 at 10:52 AM",11,0,Mar 16,16.03.2009,,$750 per credit hour
Office Assistant I,0600027,Art,0,Filled,"August 12, 2008 at 11:50 AM",23,0,Jul 29,29.07.2008,.83,$12.44/hr
Housing Complex Assistant,,Housing & Student Living,0,Filled,"May 29, 2009 at 10:56 AM",23,1,Apr 28,28.04.2009,.50,Rent reduced ($385/month) and a stipend $675/month
Custodian,0600038,Custodial Services,0,Filled,"September 26, 2008 at 08:35 AM",9,1,Aug 21,21.08.2008,1,Pay scale starts at $11.34/hr
Office Assistant I,,Art,0,Cancelled,"September 24, 2008 at 12:01 PM",10,0,Jul 28,28.07.2008,.83,$12.44/hr
Registration Specialist,,Student Records & Registration,0,Filled,"October 08, 2008 at 03:45 PM",13,0,Sep 04,04.09.2008,1,"$25,870"
Electrician I,0600031,Electrical Shop,0,Cancelled,"August 04, 2008 at 05:39 PM",0,0,Aug 15,15.08.2008,1.0,"$42,715/year"
Senior Buyer,,University Store,0,Filled,"May 29, 2009 at 10:54 AM",1,0,Apr 30,30.04.2009,1,
Electrician I,0600033,Electrical Shop,0,Cancelled,"August 05, 2008 at 02:41 PM",0,0,Aug 15,15.08.2008,1.0,
Adjunct Faculty - Dance,,Academic Office,0,Filled,"February 02, 2010 at 08:28 AM",2,0,Open Until Filled,,,Dependent on experience and education
Online Adjunct Faculty--B301 Financial Management,0600119,Continuing Education,0,Filled,"July 30, 2009 at 11:02 AM",30,1,Jun 25,25.06.2009,,
Online Adjunct Faculty--ACCTG 201 Financial Accounting,0600118,Continuing Education,0,Filled,"July 30, 2009 at 10:54 AM",24,0,Jun 25,25.06.2009,,
Full-time Faculty - Mathematics (Applied),0600062,Academic Office,0,Filled,"September 22, 2009 at 02:32 PM",10,0,Jan 16,16.01.2009,,Dependent on Education and Experience
Catering Assistant,0600036,University Food Services,0,Filled,"August 28, 2008 at 04:01 PM",12,0,Aug 14,14.08.2008,1.0,$12.44/hr minimum
Office Assistant I,0600115,Continuing Education,0,Filled,"May 29, 2009 at 09:53 AM",46,1,May 06,06.05.2009,.50,Pay scale starts at $12.22/hr
Online Adjunct Faculty--COMM 102 Public Speaking,0600123,Continuing Education,0,Filled,"July 30, 2009 at 11:11 AM",48,0,Jun 25,25.06.2009,,
Technology Support Specialist,0600040,Information Technology,0,Filled,"September 26, 2008 at 08:29 AM",18,1,Sep 07,07.09.2008,1,"Pay scale starts at $38,270/yr minimum"
Office Assistant I,,Continuing Education,0,Filled,"October 29, 2008 at 09:11 AM",26,0,Open Until Filled,,1.0,12.44/hour minimum
Online Adjunct Faculty--PSYCH 111 Intro to Psychology,0600129,Continuing Education,0,Filled,"July 30, 2009 at 11:15 AM",38,0,Jun 25,25.06.2009,,
Online Adjunct Faculty--FDREL 121 Book of Mormon I,0600136,Online Learning Administration,0,Filled,"April 20, 2011 at 01:21 PM",57,0,Jun 25,25.06.2009,,
Online Adjunct Faculty--FDSCI 101 Science Foundations,0600139,Online Learning Administration,0,Filled,"July 30, 2009 at 10:12 AM",16,2,Jun 25,25.06.2009,,
Online Adjunct Faculty--FDREL 122 Book of Mormon II,0600137,Online Learning Administration,0,Filled,"April 20, 2011 at 01:22 PM",43,0,Jun 25,25.06.2009,,
Online Adjunct Faculty--ART 110 Drawing I,0600142,Online Learning Administration,0,Filled,"July 30, 2009 at 10:10 AM",10,0,Jun 25,25.06.2009,,
Online Adjunct Faculty-Test,0600135,Online Learning Administration,0,Filled,"June 16, 2009 at 03:38 PM",0,0,Jun 25,25.06.2009,,
Temporary Faculty - English,0600049,Academic Office,0,Cancelled,"October 27, 2008 at 04:52 PM",0,0,Open Until Filled,,,Dependent on Education and Experience
Office Assistant I,0600054,Online Instruction,0,Filled,"December 08, 2008 at 09:48 AM",52,2,Nov 05,05.11.2008,1,Pay scale begins at $12.44/hr
Custodian,0600042,Custodial Services,0,Filled,"October 21, 2008 at 10:07 AM",22,1,Sep 23,23.09.2008,1,"Payscale starts at $23,600/yr minimum"
Office Assistant I,,Human Resources,0,Filled,"August 19, 2009 at 10:22 AM",4,0,Aug 03,03.08.2009,1,Pay scale minimum begins at $12.22/hr; employees should contact Beth in HR for specific information
Temporary Faculty - Psychology,0600057,Academic Office,0,Filled,"September 22, 2009 at 02:34 PM",21,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Communication,,Academic Office,0,Filled,"February 12, 2010 at 02:35 PM",7,0,Open Until Filled,,,Dependent on Education and Experience
Temporary Faculty - English,0600051,Academic Office,0,Filled,"June 11, 2009 at 01:28 PM",9,0,Open Until Filled,,,Dependent on Education and Experience
Full-time Faculty - Home & Family,0600059,Academic Office,0,Cancelled,"May 21, 2009 at 03:05 PM",8,0,Jan 16,16.01.2009,,Dependent on Education and Experience
General Advising Manager,,Online Instruction,0,Filled,"September 01, 2009 at 08:23 AM",25,0,Aug 03,03.08.2009,1,"Pay scale starts at $56,000/yr; employees should consult with HR for more specific information"
Office Assistant I,,Online Instruction,0,Filled,"September 15, 2009 at 08:18 AM",9,1,Aug 31,31.08.2009,1,Pay scale starts at $12.22/hr; employees should consult with HR for more specific information
Petitions Specialist,0600148,Student Records & Registration,0,Filled,"September 11, 2009 at 03:57 PM",114,0,Aug 19,19.08.2009,1,Pay scale begins at $12.22/hr
Adjunct Faculty - Biology,,Academic Office,0,Filled,"February 02, 2010 at 08:27 AM",1,0,Open Until Filled,,,Dependent on Education and Experience
Academic Materials Assistant,0600151,University Store,0,Filled,"September 30, 2009 at 01:57 PM",91,2,Sep 15,15.09.2009,1,Pay scale begins at $12.22/hr; experience considered in offer
Adjunct Faculty - Religious Education,,Academic Office,0,Filled,"February 02, 2010 at 08:34 AM",2,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--The Developing World,0600101,Continuing Education,0,Filled,"April 20, 2009 at 10:04 AM",7,0,Mar 16,16.03.2009,,$750 per credit hour
University Security Director,0600056,University Security & Safety,0,Filled,"December 08, 2008 at 09:04 AM",31,0,Nov 12,12.11.2008,1,"Pay scale begins at $64,000/yr"
Online Adjunct Faculty--ACCTG 180: Survey of Accounting,0600155,Online Learning Administration,0,Cancelled,"February 10, 2017 at 11:48 AM",0,0,Oct 02,02.10.2010,,
Temporary Faculty - Political Science,0600068,Academic Office,0,Filled,"June 11, 2009 at 01:29 PM",8,0,Open Until Filled,,,Dependent on Education and Experience
Custodian,0600070,Custodial Services,0,Filled,"December 20, 2008 at 12:09 PM",21,0,Dec 01,01.12.2008,1.0,Payscale begins at $11.34/hr
Online Adjunct Faculty--ART 117: Design and Color,0600157,Online Learning Administration,0,Cancelled,"February 10, 2017 at 02:18 PM",0,0,Oct 02,02.10.2010,,
Online Adjunct Faculty--ART 117 Design / Color,0600152,Online Learning Administration,0,Cancelled,"February 10, 2017 at 02:18 PM",0,0,Oct 02,02.10.2009,,
Online Adjunct Faculty--COMM 450: Conflict Management,0600163,Online Learning Administration,0,Filled,"April 20, 2011 at 01:28 PM",105,3,Open Until Filled,,,
Technology Support Specialist,0600064,Information Technology,0,Filled,"December 18, 2008 at 02:14 PM",27,0,Nov 18,18.11.2008,1,"Pay scale starts at $38,270/yr minimum"
Online Adjunct Faculty--ECON 112: Microeconomics,0600164,Online Learning Administration,0,Filled,"April 21, 2011 at 03:26 PM",34,2,Open Until Filled,,,
Online Adjunct Faculty--ED 200: History and Philosophy of Education,0600165,Online Learning Administration,6,Filled,"April 21, 2011 at 03:08 PM",152,6,Open Until Filled,,,
Audio Production Engineer--THIS POSTING HAS BEEN CANCELLED,0600077,A/V Production Services,0,Cancelled,"April 20, 2009 at 10:10 AM",6,0,Dec 23,23.12.2008,1.0,
Online Degrees Satellite Advisor,0600069,Online Instruction,0,Filled,"December 22, 2008 at 11:14 AM",40,1,Dec 01,01.12.2008,.50,$16.56/hr
Online Adjunct Faculty--FDREL 211: New Testament I,0600174,Online Learning Administration,0,Filled,"March 18, 2011 at 05:05 PM",70,3,Open Until Filled,,,
Online Adjunct Faculty--FDREL 301: Old Testament,0600175,Online Learning Administration,0,Filled,"April 20, 2011 at 01:29 PM",50,2,Open Until Filled,,,
Online Adjunct Faculty--FDSCI 101: Science Foundations,0600177,Online Learning Administration,0,Filled,"April 21, 2011 at 03:06 PM",62,1,Open Until Filled,,,
Full-time Faculty - Business Management,,Academic Office,0,Cancelled,"December 02, 2008 at 11:05 AM",0,0,Jan 16,16.01.2009,,Dependent on Education and Experience
Facility Planner,0600071,Facilities Management,0,Cancelled,"December 22, 2008 at 11:13 AM",35,0,Dec 15,15.12.2008,1.0,"Payscale begins at $45,000/yr"
Online Adjunct Faculty--Science (2 openings),0600093,Continuing Education,3,Filled,"April 20, 2009 at 10:05 AM",12,0,Mar 16,16.03.2009,,$750 per credit hour
Online Adjunct Faculty--SOC 112: Social Problems,0600185,Online Learning Administration,0,Filled,"March 18, 2011 at 05:31 PM",55,1,Open Until Filled,,,
Online Adjunct Faculty--SPAN 102: Beg Spanish II,0600186,Online Learning Administration,0,Filled,"April 20, 2011 at 01:33 PM",64,1,Open Until Filled,,,
Online Adjunct Faculty--Science,0600079,Continuing Education,0,Filled,"February 10, 2009 at 03:57 PM",9,0,Jan 22,22.01.2009,,Paid $750 per course credit hour
Online Adjunct Faculty--American Foundations,0600080,Continuing Education,0,Filled,"February 10, 2009 at 04:41 PM",5,0,Jan 22,22.01.2009,,Paid $750 per course credit hour
Temporary Faculty - Biology,,Academic Office,0,Filled,"November 13, 2009 at 04:03 PM",1,0,Open Until Filled,,,Dependent on Education and Experience
Office Assistant I,,Dance,0,Filled,"February 08, 2010 at 10:00 AM",1,0,Sep 25,25.09.2009,.30,Pay scale starts at $12.22/hr; employees should consult with HR for more specific information
Temporary Faculty - English,,Academic Office,0,Filled,"November 13, 2009 at 04:05 PM",1,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Home & Family,,Academic Office,0,Filled,"February 02, 2010 at 08:30 AM",6,1,Open Until Filled,,,Dependent on experience and education
Temporary Faculty - Psychology,0600188,Academic Office,0,Cancelled,"February 04, 2010 at 09:02 AM",3,0,Open Until Filled,,,Dependent on Education and Experience
Accounts Payable Specialist,,Accounting Services,0,Filled,"October 14, 2009 at 09:50 AM",7,0,Oct 04,04.10.2009,1.0,Pay scale begins at $13.54/hr; employees should consult with HR for more specific information
Online Learning Manager,0600086,Continuing Education,0,Filled,"March 20, 2009 at 11:27 AM",76,1,Feb 03,03.02.2009,1,"Minimum salary of $49,800/yr"
Housing Complex Assistant,,Housing & Student Living,0,Filled,"October 22, 2009 at 11:33 AM",28,0,Oct 06,06.10.2009,.50,Stipend of $675/month and rent reduced to $385/month
"Online Adjunct Faculty--Statistics (3 openings: Business, Biology, Social Science)",0600098,Continuing Education,0,Filled,"April 20, 2009 at 10:06 AM",5,0,Mar 16,16.03.2009,,$750 per credit hour
Online Adjunct Faculty--Pakistan,0600081,Continuing Education,0,Filled,"February 10, 2009 at 05:05 PM",4,0,Jan 22,22.01.2009,,Paid $750 per course credit hour
